loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status
5300,36 months,5.08,159.04,A,10+ years,MORTGAGE,37900,Source Verified,home_improvement,22.12,0,757,57.4,Fully Paid
13400,60 months,9.27,279.92,B,10+ years,RENT,116700,Not Verified,debt_consolidation,42.18,0,726,79.8,Charged Off
4200,60 months,11.56,92.5,C,7 years,MORTGAGE,39700,Verified,debt_consolidation,12.96,0,694,19.2,Fully Paid
11100,60 months,14.2,259.43,D,10+ years,RENT,78500,Source Verified,credit_card,34.41,0,697,22.9,Charged Off
10700,36 months,14.96,370.71,C,7 years,RENT,77100,Not Verified,credit_card,7.07,0,715,62.9,Charged Off
9400,36 months,14.66,324.29,C,3 years,MORTGAGE,85600,Verified,credit_card,13.7,0,706,48.0,Fully Paid
15000,36 months,12.34,500.65,B,4 years,MORTGAGE,45600,Source Verified,debt_consolidation,7.82,0,726,55.0,Fully Paid
15400,60 months,8.32,314.62,B,10+ years,RENT,40500,Verified,small_business,12.84,1,715,71.3,Charged Off
11900,36 months,21.95,454.16,E,< 1 year,MORTGAGE,47400,Not Verified,debt_consolidation,17.86,1,672,6.3,Charged Off
11400,36 months,16.65,404.46,D,10+ years,RENT,64300,Verified,debt_consolidation,22.45,0,695,42.1,Fully Paid
5200,36 months,16.71,184.64,D,4 years,MORTGAGE,61600,Verified,debt_consolidation,11.91,1,693,44.1,Charged Off
22100,36 months,11.31,726.77,C,10+ years,MORTGAGE,79800,Verified,debt_consolidation,15.11,0,699,32.1,Charged Off
4300,36 months,7.41,133.58,A,5 years,MORTGAGE,38100,Not Verified,debt_consolidation,7.71,1,767,67.2,Fully Paid
4400,60 months,23.81,126.09,F,6 years,MORTGAGE,46900,Source Verified,credit_card,19.21,0,668,76.8,Charged Off
8000,36 months,13.45,271.29,C,10+ years,MORTGAGE,50000,Verified,small_business,9.74,0,724,55.4,Fully Paid
10200,60 months,16.47,250.6,D,10+ years,RENT,78400,Source Verified,debt_consolidation,10.43,1,691,50.9,Fully Paid
9600,36 months,7.87,300.25,A,5 years,RENT,21200,Not Verified,debt_consolidation,14.27,0,767,9.2,Fully Paid
11700,60 months,15.81,283.34,D,3 years,RENT,57500,Source Verified,debt_consolidation,6.21,0,681,34.8,Charged Off
16000,36 months,14.33,549.41,C,10+ years,MORTGAGE,21900,Not Verified,credit_card,9.23,0,716,22.8,Fully Paid
10800,60 months,6.71,212.38,A,3 years,MORTGAGE,101700,Verified,debt_consolidation,9.36,0,756,77.5,Fully Paid
14800,36 months,19.49,546.18,E,10+ years,MORTGAGE,51600,Source Verified,credit_card,28.53,0,679,58.1,Fully Paid
5000,36 months,13.98,170.84,C,3 years,RENT,84900,Source Verified,debt_consolidation,26.78,0,702,29.3,Fully Paid
4200,36 months,14.89,145.37,C,4 years,RENT,119000,Not Verified,debt_consolidation,10.53,1,702,86.9,Fully Paid
3000,60 months,13.54,69.09,D,< 1 year,OWN,55700,Source Verified,credit_card,6.76,0,669,38.9,Fully Paid
7900,36 months,13.01,266.22,C,2 years,RENT,43000,Not Verified,debt_consolidation,25.54,0,708,80.2,Charged Off
18000,36 months,15.8,631.05,C,7 years,MORTGAGE,52900,Not Verified,other,24.37,0,700,56.2,Fully Paid
14900,60 months,6.73,293.14,A,4 years,MORTGAGE,49500,Source Verified,debt_consolidation,24.1,0,739,17.7,Fully Paid
7100,60 months,14.45,166.87,C,3 years,MORTGAGE,101800,Source Verified,debt_consolidation,7.26,0,689,50.5,Charged Off
8500,36 months,10.62,276.75,B,1 year,RENT,71600,Verified,credit_card,15.42,0,717,74.5,Charged Off
15400,36 months,18.95,564.11,D,3 years,MORTGAGE,77700,Source Verified,debt_consolidation,20.35,0,688,27.5,Fully Paid
14300,36 months,14.03,488.95,D,5 years,RENT,64100,Not Verified,credit_card,14.86,0,686,69.2,Fully Paid
5200,36 months,14.88,179.95,C,10+ years,MORTGAGE,123600,Source Verified,debt_consolidation,11.44,0,680,57.9,Fully Paid
12400,36 months,9.64,398.02,B,5 years,MORTGAGE,32900,Source Verified,credit_card,8.82,0,715,36.5,Fully Paid
3400,36 months,16.65,120.63,D,10+ years,RENT,37100,Not Verified,debt_consolidation,7.95,0,680,19.0,Charged Off
22700,36 months,12.38,758.09,C,< 1 year,MORTGAGE,52300,Verified,credit_card,26.11,1,690,56.4,Charged Off
25700,60 months,8.88,531.99,B,1 year,OWN,37200,Not Verified,debt_consolidation,21.16,0,725,68.0,Fully Paid
14000,36 months,16.66,496.77,D,10+ years,MORTGAGE,51300,Not Verified,credit_card,13.48,0,678,33.3,Fully Paid
18000,36 months,10.68,586.57,B,6 years,RENT,41000,Not Verified,small_business,9.37,0,714,22.2,Charged Off
15000,36 months,24.83,595.05,F,10+ years,MORTGAGE,39600,Not Verified,credit_card,14.88,0,672,77.4,Charged Off
22100,36 months,7.4,686.43,A,10+ years,RENT,35400,Not Verified,major_purchase,29.56,0,740,37.1,Charged Off
12400,36 months,7.79,387.37,A,10+ years,RENT,60500,Verified,debt_consolidation,13.77,0,765,68.4,Fully Paid
13800,36 months,21.72,525.03,F,4 years,MORTGAGE,137000,Not Verified,debt_consolidation,6.53,1,650,57.1,Charged Off
12700,36 months,7.86,397.15,A,2 years,MORTGAGE,40300,Not Verified,credit_card,21.86,2,748,66.9,Fully Paid
18300,36 months,13.12,617.66,C,10+ years,RENT,47900,Source Verified,credit_card,35.71,0,677,66.6,Charged Off
15600,36 months,13.07,526.15,C,2 years,RENT,32200,Source Verified,debt_consolidation,20.79,1,695,35.9,Charged Off
9600,60 months,14.49,225.82,C,10+ years,MORTGAGE,123500,Not Verified,debt_consolidation,33.39,0,690,18.2,Charged Off
6200,36 months,13.42,210.16,C,6 years,MORTGAGE,97700,Not Verified,credit_card,9.64,0,719,53.9,Charged Off
17900,60 months,7.06,354.95,A,2 years,MORTGAGE,70600,Verified,debt_consolidation,13.65,0,739,82.4,Charged Off
6900,36 months,11.53,227.63,C,< 1 year,OWN,67600,Verified,debt_consolidation,15.56,0,719,37.0,Fully Paid
10600,36 months,11.41,349.09,C,1 year,MORTGAGE,106300,Verified,debt_consolidation,36.04,0,690,61.1,Charged Off
18600,36 months,17.1,664.07,D,7 years,RENT,54900,Not Verified,debt_consolidation,11.69,0,679,38.1,Charged Off
34400,36 months,15.29,1197.38,C,10+ years,MORTGAGE,92300,Source Verified,car,18.51,0,722,74.3,Charged Off
28000,36 months,14.94,969.81,C,10+ years,MORTGAGE,29000,Source Verified,small_business,20.55,0,720,70.5,Charged Off
5400,36 months,8.1,169.47,A,6 years,MORTGAGE,51600,Verified,credit_card,15.19,0,766,91.1,Fully Paid
10500,36 months,13.66,357.13,C,5 years,OTHER,58800,Verified,debt_consolidation,32.99,0,701,43.3,Charged Off
4700,36 months,22.21,180.01,F,3 years,MORTGAGE,81400,Not Verified,debt_consolidation,20.67,1,656,62.5,Charged Off
12800,36 months,18.94,468.81,E,10+ years,RENT,22300,Source Verified,credit_card,8.32,0,660,72.0,Charged Off
8700,60 months,6.62,170.71,A,4 years,RENT,172700,Verified,debt_consolidation,29.13,0,739,30.7,Charged Off
7200,36 months,10.91,235.41,B,6 years,MORTGAGE,81400,Not Verified,debt_consolidation,10.21,1,712,34.0,Charged Off
25300,36 months,9.51,810.55,B,10+ years,RENT,28000,Source Verified,debt_consolidation,11.76,1,702,86.3,Charged Off
9400,36 months,14.7,324.47,D,10+ years,RENT,77300,Source Verified,credit_card,5.2,0,671,65.1,Fully Paid
9900,36 months,6.82,304.87,A,6 years,MORTGAGE,20900,Not Verified,other,6.98,1,757,39.6,Fully Paid
18600,60 months,15.06,443.08,C,10+ years,MORTGAGE,100700,Verified,debt_consolidation,19.0,1,724,13.0,Fully Paid
8200,36 months,13.77,279.34,C,1 year,RENT,48100,Not Verified,debt_consolidation,19.29,0,701,58.4,Fully Paid
17100,36 months,14.55,589.02,C,6 years,MORTGAGE,50000,Source Verified,debt_consolidation,20.23,0,703,79.2,Charged Off
11800,60 months,19.6,310.01,E,3 years,RENT,82500,Source Verified,debt_consolidation,15.9,0,671,55.5,Charged Off
15800,36 months,5.77,479.02,A,2 years,MORTGAGE,31100,Not Verified,other,15.8,0,721,42.2,Fully Paid
9000,36 months,7.59,280.33,A,10+ years,RENT,101000,Source Verified,other,24.25,0,738,33.0,Charged Off
10200,36 months,6.18,311.14,A,2 years,MORTGAGE,52700,Not Verified,credit_card,10.29,1,736,76.8,Charged Off
27200,36 months,10.41,882.91,B,10+ years,RENT,37600,Source Verified,debt_consolidation,10.82,0,705,80.3,Fully Paid
14900,36 months,7.89,466.16,A,10+ years,MORTGAGE,51400,Not Verified,credit_card,18.1,0,751,32.0,Fully Paid
15500,60 months,13.47,356.41,C,10+ years,MORTGAGE,90600,Verified,debt_consolidation,6.34,0,692,54.6,Fully Paid
13800,36 months,13.4,467.64,C,10+ years,RENT,70400,Verified,debt_consolidation,23.19,0,694,37.6,Fully Paid
3400,60 months,7.04,67.39,A,10+ years,MORTGAGE,59300,Not Verified,debt_consolidation,11.92,0,754,64.2,Fully Paid
24800,36 months,11.43,816.98,B,2 years,RENT,88100,Verified,home_improvement,15.85,1,689,28.5,Fully Paid
9800,36 months,12.7,328.79,C,10+ years,MORTGAGE,54000,Verified,debt_consolidation,12.22,0,698,18.3,Fully Paid
16900,36 months,20.92,636.01,E,6 years,MORTGAGE,67200,Source Verified,small_business,3.42,0,692,14.4,Fully Paid
8500,60 months,17.41,213.13,D,2 years,RENT,44300,Not Verified,debt_consolidation,6.24,0,699,45.9,Charged Off
23000,36 months,6.95,709.65,A,3 years,MORTGAGE,38600,Not Verified,credit_card,33.75,1,754,74.6,Fully Paid
17200,36 months,14.36,590.87,C,4 years,MORTGAGE,75600,Not Verified,debt_consolidation,10.88,1,708,53.7,Fully Paid
7100,36 months,13.34,240.39,C,10+ years,MORTGAGE,42700,Source Verified,home_improvement,26.11,0,705,56.8,Charged Off
5500,36 months,14.1,188.24,C,2 years,RENT,40000,Verified,debt_consolidation,19.06,0,679,46.0,Charged Off
12000,60 months,10.77,259.53,B,4 years,RENT,45700,Verified,debt_consolidation,16.92,0,712,32.1,Fully Paid
13400,60 months,18.26,342.17,D,6 years,MORTGAGE,118400,Source Verified,debt_consolidation,26.35,0,703,84.5,Charged Off
8500,36 months,9.25,271.29,B,10+ years,MORTGAGE,37400,Verified,credit_card,6.84,0,728,35.5,Fully Paid
9600,36 months,10.26,310.94,B,8 years,RENT,54700,Source Verified,debt_consolidation,41.21,0,736,77.3,Charged Off
9500,36 months,13.78,323.67,C,10+ years,MORTGAGE,98100,Not Verified,medical,21.23,0,702,27.3,Charged Off
8700,36 months,9.5,278.69,B,7 years,RENT,122300,Verified,debt_consolidation,16.86,0,728,48.9,Fully Paid
7300,36 months,18.51,265.78,E,10+ years,RENT,37900,Not Verified,debt_consolidation,33.39,0,670,14.3,Fully Paid
14500,36 months,9.87,466.99,B,10+ years,MORTGAGE,56900,Verified,debt_consolidation,27.64,1,711,70.4,Fully Paid
